Year,Month,Open
1927,12,17.7
1928,01,17.5
1928,02,17.3
1928,03,18.2
1928,04,19.4
1928,05,20.0
1928,06,19.0
1928,07,19.2
1928,08,19.8
1928,09,21.2
1928,10,21.6
1928,11,23.1
1928,12,23.1
1929,01,24.9
1929,02,25.0
1929,03,25.4
1929,04,25.3
1929,05,25.6
1929,06,26.1
1929,07,28.5
1929,08,30.1
1929,09,31.3
1929,10,28.0
1929,11,20.6
1929,12,21.4
1930,01,21.7
1930,02,23.1
1930,03,23.9
1930,04,25.4
1930,05,24.0
1930,06,21.6
1930,07,21.0
1930,08,20.8
1930,09,20.8
1930,10,17.9
1930,11,16.6
1930,12,15.5
1931,01,15.9
1931,02,17.2
1931,03,17.5
1931,04,15.8
1931,05,14.3
1931,06,13.8
1931,07,14.3
1931,08,13.9
1931,09,11.9
1931,10,10.2
1931,11,10.4
1931,12,8.4
1932,01,8.3
1932,02,8.2
1932,03,8.3
1932,04,6.3
1932,05,5.5
1932,06,4.7
1932,07,5.0
1932,08,7.5
1932,09,8.2
1932,10,7.1
1932,11,7.0
1932,12,6.8
1933,01,7.1
1933,02,6.2
1933,03,6.2
1933,04,6.9
1933,05,8.9
1933,06,10.4
1933,07,11.2
1933,08,10.7
1933,09,10.6
1933,10,9.6
1933,11,9.8
1933,12,10.0
1934,01,10.6
1934,02,11.3
1934,03,10.7
1934,04,10.9
1934,05,9.8
1934,06,9.9
1934,07,9.5
1934,08,9.1
1934,09,8.9
1934,10,8.9
1934,11,9.2
1934,12,9.2
1935,01,9.2
1935,02,9.0
1935,03,8.4
1935,04,9.0
1935,05,9.7
1935,06,10.1
1935,07,10.7
1935,08,11.3
1935,09,11.6
1935,10,11.9
1935,11,13.0
1935,12,13.1
1936,01,13.8
1936,02,14.6
1936,03,14.9
1936,04,14.8
1936,05,14.1
1936,06,14.7
1936,07,15.5
1936,08,15.9
1936,09,16.0
1936,10,16.9
1936,11,17.4
1936,12,17.1
1937,01,17.6
1937,02,18.1
1937,03,18.1
1937,04,17.0
1937,05,16.2
1937,06,15.6
1937,07,16.5
1937,08,16.7
1937,09,14.4
1937,10,12.3
1937,11,11.2
1937,12,11.0
1938,01,11.3
1938,02,11.0
1938,03,10.3
1938,04,9.8
1938,05,10.0
1938,06,10.2
1938,07,12.2
1938,08,12.3
1938,09,11.8
1938,10,13.1
1938,11,13.1
1938,12,12.7
1939,01,12.5
1939,02,12.4
1939,03,12.4
1939,04,10.8
1939,05,11.2
1939,06,11.4
1939,07,11.7
1939,08,11.5
1939,09,12.8
1939,10,12.9
1939,11,12.7
1939,12,12.4
1940,01,12.3
1940,02,12.2
1940,03,12.1
1940,04,12.3
1940,05,10.6
1940,06,9.7
1940,07,10.0
1940,08,10.2
1940,09,10.6
1940,10,10.7
1940,11,11.0
1940,12,10.5
1941,01,10.5
1941,02,9.9
1941,03,10.0
1941,04,9.6
1941,05,9.4
1941,06,9.8
1941,07,10.3
1941,08,10.2
1941,09,10.2
1941,10,9.8
1941,11,9.4
1941,12,8.8
1942,01,8.9
1942,02,8.7
1942,03,8.2
1942,04,7.8
1942,05,7.9
1942,06,8.3
1942,07,8.6
1942,08,8.6
1942,09,8.7
1942,10,9.3
1942,11,9.5
1942,12,9.5
1943,01,10.1
1943,02,10.7
1943,03,11.1
1943,04,11.5
1943,05,11.9
1943,06,12.1
1943,07,12.4
1943,08,11.7
1943,09,12.0
1943,10,11.9
1943,11,11.3
1943,12,11.5
1944,01,11.8
1944,02,11.8
1944,03,12.1
1944,04,11.9
1944,05,12.1
1944,06,12.7
1944,07,13.0
1944,08,12.8
1944,09,12.6
1944,10,12.9
1944,11,12.8
1944,12,13.1
